,player_name,time,longitude,latitude,ressource_id,ressource_type,Game_ID
188,Tenacious Mongoose,2023-05-20 10:38:26-05:00,-74.478319,46.044155,86,Type B,1
189,Enduring Beaver,2023-05-20 10:38:27-05:00,-74.479219,46.044346,20,Type B,1
190,Wandering Antelope,2023-05-20 10:38:29-05:00,-74.478332,46.042676,110,Type A,1
191,Bold Owl,2023-05-20 10:38:29-05:00,-74.477245,46.043333,100,Type A,1
192,Graceful Raccoon,2023-05-20 10:38:43-05:00,-74.487616,46.052327,19,Type A,1
193,Tenacious Mongoose,2023-05-20 10:38:56-05:00,-74.478319,46.044155,86,Type B,1
194,Bold Owl,2023-05-20 10:39:11-05:00,-74.477265,46.043343,100,Type A,1
195,Enduring Beaver,2023-05-20 10:39:13-05:00,-74.479174,46.044378,20,Type B,1
196,Graceful Raccoon,2023-05-20 10:39:44-05:00,-74.479478,46.04427,19,Type A,1
197,Enduring Beaver,2023-05-20 10:39:46-05:00,-74.479174,46.044378,20,Type B,1
198,Clever Lion,2023-05-20 10:39:46-05:00,-74.47896,46.04441,12,Type A,1
199,Gentle Bear,2023-05-20 10:40:13-05:00,-74.479572,46.044284,19,Type A,1
200,Clever Lion,2023-05-20 10:40:20-05:00,-74.478962,46.044407,12,Type A,1
201,Tenacious Mongoose,2023-05-20 10:40:45-05:00,-74.477883,46.044073,91,Type B,1
202,Majestic Kangaroo,2023-05-20 11:11:37-05:00,-74.478467,46.043216,80,Type A,2
203,Energetic Badger,2023-05-20 11:11:41-05:00,-74.479209,46.043584,84,Type A,2
204,Enduring Beaver,2023-05-20 11:11:42-05:00,-74.477093,46.043863,96,Type A,2
205,Majestic Kangaroo,2023-05-20 11:11:56-05:00,-74.478467,46.043216,80,Type A,2
206,Graceful Raccoon,2023-05-20 11:12:01-05:00,-74.478421,46.044292,12,Type A,2
207,Agile Hippopotamus,2023-05-20 11:12:14-05:00,-74.477856,46.045087,8,Type B,2
208,Elusive Fox,2023-05-20 11:12:17-05:00,-74.478472,46.046193,26,Type A,2
209,Tenacious Mongoose,2023-05-20 11:12:19-05:00,-74.479615,46.044289,19,Type A,2
210,Lively Rabbit,2023-05-20 11:12:24-05:00,-74.478415,46.043609,89,Type A,2
211,Agile Hippopotamus,2023-05-20 11:12:32-05:00,-74.477856,46.045087,80,Type B,2
212,Gentle Bear,2023-05-20 11:12:36-05:00,-74.478094,46.043775,107,Type A,2
213,Resourceful Platypus,2023-05-20 11:12:41-05:00,-74.478965,46.046001,25,Type B,2
214,Vigilant Puma,2023-05-20 11:12:52-05:00,-74.479546,46.044198,19,Type A,2
215,Agile Hippopotamus,2023-05-20 11:12:59-05:00,-74.477856,46.045087,8,Type B,2
